event_id,match_nr,fighter1_url,fighter1_name,fighter2_url,fighter2_name,fighter1_result,fighter2_result,win_method,win_details,referee,round,time
954,7,/fighter/Ann-Osman-144119,Ann Osman,/fighter/Vy-Srey-Khouch-232603,Vy  Srey Khouch,win,loss,TKO,Elbows and Punches,Olivier Coste,1,04:58
954,6,/fighter/Movlid-Khaybulaev-109571,Movlid Khaybulaev,/fighter/Herbert-Burns-152211,Herbert Burns,win,loss,Decision,Unanimous,Olivier Coste,3,05:00
954,5,/fighter/Keanu-Subba-78618,Keanu Subba,/fighter/Ahmed-Mujtaba-132987,Ahmed Mujtaba,win,loss,Submission,Guillotine Choke,Yuji Shimada,1,02:56
954,4,/fighter/Alex-Silva-85140,Alex Silva,/fighter/Roy-Doliguez-84028,Roy Doliguez,win,loss,Submission,Armbar,Olivier Coste,3,02:36
954,3,/fighter/Saiful-Merican-125371,Saiful Merican,/fighter/Bernard-Soriano-68319,Bernard Soriano,win,loss,TKO,Retirement,Yuji Shimada,1,05:00
954,2,/fighter/Tiffany-Teo-218563,Tiffany Teo,/fighter/Priscilla-Hertati-Lumban-Gaol-244331,Priscilla Hertati Lumban Gaol,win,loss,Decision,Unanimous,Olivier Coste,3,05:00
954,1,/fighter/Muhammad-Aiman-170815,Muhammad Aiman,/fighter/Eduardo-Novaes-244329,Eduardo Novaes,win,loss,KO,Body Kick,Yuji Shimada,2,02:50
955,9,/fighter/Vitaly-Bigdash-112057,Vitaly Bigdash,/fighter/Aung-La-N-Sang-13029,Aung La N Sang,win,loss, Decision,Unanimous, Yuji Shimada,5, 5:00
955,8,/fighter/Martin-Nguyen-96155,Martin Nguyen,/fighter/Kazunori-Yokota-11335,Kazunori Yokota,win,loss,KO,Punches,Olivier Coste,1,03:36
955,7,/fighter/Anthony-Engelen-126115,Anthony Engelen,/fighter/AJ-Lias-Mansor-78617,A.J. Lias Mansor,win,loss,KO,Punch,Yuji Shimada,1,01:42
955,6,/fighter/Vincent-Latoel-4079,Vincent Latoel,/fighter/Vaughn-Donayre-76924,Vaughn Donayre,win,loss,Decision,Unanimous,Yuji Shimada,3,05:00
955,5,/fighter/Georgi-Stoyanov-39813,Georgi Stoyanov,/fighter/Saygid-Guseyn-Arslanaliev-158933,Saygid Guseyn Arslanaliev,win,loss,DQ,Kick to Grounded Opponent,Olivier Coste,1,01:28
955,4,/fighter/Igor-Subora-55487,Igor Subora,/fighter/Sherif-Mohamed-138789,Sherif Mohamed,win,loss,Decision,Unanimous,Olivier Coste,3,05:00
955,3,/fighter/Sunoto-Peringkat-192883,Sunoto Peringkat,/fighter/Chan-Heng-140291,Chan Heng,win,loss,TKO,Punches,Yuji Shimada,1,02:30
955,2,/fighter/Stefer-Rahardian-137099,Stefer Rahardian,/fighter/Jerome-S-Paye-100267,Jerome S. Paye,win,loss,Decision,Unanimous,Olivier Coste,3,05:00
955,1,/fighter/Rene-Catalan-127675,Rene Catalan,/fighter/Adrian-Mattheis-232883,Adrian Mattheis,win,loss,Submission,Straight Armbar,Yuji Shimada,2,02:08
956,11,/fighter/Brandon-Vera-4886,Brandon Vera,/fighter/Hideki-Sekine-53587,Hideki Sekine,win,loss, TKO,Body Kick and Punches, Yuji Shimada,1, 3:11
