id,fighter_name,nickname,birth_date,age,country,height_cm,weight_kg,association,weight_class,wins,losses
/fighter/Dovletdzhan-Yagshimuradov-96307,Dovletdzhan Yagshimuradov,,22/05/1989,32,Turkmenistan,180.34,92.99,,Light Heavyweight,18,18
/fighter/Sean-Tucker-151785,Sean Tucker,The Apache Assassin,10/01/1989,32,United States,187.96,118.39,,Heavyweight,1,1
/fighter/Joe-Pardo-199,Joe Pardo,,,,USA,185.42,95.25,Gracie Jiu-Jitsu Academy,Heavyweight,4,4
/fighter/Scotty-Hao-195501,Scotty Hao,,,,United States,180.34,70.31,Average Joe's MMA,Lightweight,5,5
/fighter/Josh-Fremd-162285,Josh Fremd,,15/01/1994,27,United States,193.04,83.91,Factory X,Middleweight,7,7
/fighter/Ashraf-Fauzi-340557,Ashraf Fauzi,,,,Singapore,0.0,65.77,Juggernaut Fight Club,Featherweight,0,0
/fighter/Ivan-Batinich-239005,Ivan Batinich,All Business,07/12/1985,35,United States,182.88,83.91,IB Strong,Middleweight,4,4
/fighter/Artem-Lobov-73700,Artem Lobov,The Russian Hammer,11/08/1986,35,Ireland,175.26,66.22,SBG Ireland,Featherweight,13,13
/fighter/Daniel-Barrera-23762,Daniel Barrera,,23/12/1980,40,United States,0.0,77.11,,Welterweight,3,3
/fighter/Brian-van-Hoven-47825,Brian van Hoven,Vicious,27/04/1974,47,United States,175.26,70.31,,Lightweight,8,8
/fighter/Tanner-Boser-114961,Tanner Boser,The Bulldozer,02/08/1991,30,Canada,187.96,108.86,Shaved Bears MMA,Heavyweight,20,20
/fighter/Brayan-Rafiq-13092,Brayan Rafiq,,23/04/1986,35,France,175.26,83.46,A.B.S.,Middleweight,8,8
/fighter/Keith-Richardson-48148,Keith Richardson,The Rockstar,29/11/1983,37,United States,167.64,62.6,Modern Warrior MMA,Featherweight,19,19
/fighter/Chen-Hao-350867,Chen Hao,,,,China,0.0,68.04,,Lightweight,1,1
/fighter/Jared-Vanderaa-152987,Jared Vanderaa,The Mountain,12/05/1992,29,United States,193.04,120.2,Team Quest,Heavyweight,12,12
/fighter/Damir-Hadzovic-56139,Damir Hadzovic,The Bosnian Bomber,08/08/1986,35,Bosnia and Herzegovina,180.34,70.31,Arte Suave Copenhagen,Lightweight,14,14
/fighter/Manthan-Rane-205781,Manthan  Rane,Metal,,,India,172.72,61.23,Team Relentless,Bantamweight,2,2
/fighter/Brian-Gassaway-886,Brian Gassaway,Mandingo,07/08/1972,49,United States,182.88,77.56,,Welterweight,29,29
/fighter/Diego-Marlon-12875,Diego Marlon,,10/09/1985,35,Brazil,167.64,65.77,Gile Ribeiro Team,Featherweight,28,28
/fighter/Steve-Gable-30434,Steve Gable,All American,02/09/1976,44,United States,177.8,70.31,NCFC Fight Team,Lightweight,8,8
/fighter/Joe-Hernandez-151347,Joe Hernandez,2 Gunz,,,United States,190.5,114.31,All In MMA,Heavyweight,3,3
/fighter/Sherif-Mohamed-138789,Sherif Mohamed,The Shark,,,Egypt,177.8,83.91,The Shark Gym,Middleweight,9,9
/fighter/Myung-Ho-Bae-15046,Myung Ho Bae,Wolverine,01/11/1986,34,South Korea,180.34,77.11,Busan Team MAD,Welterweight,17,17
/fighter/Jeremy-Myers-41298,Jeremy Myers,Kamikaze,06/05/1989,32,United States,172.72,77.11,Relson Gracie Austin,Welterweight,4,4
/fighter/Michelle-Waterson-23091,Michelle Waterson,The Karate Hottie,06/01/1986,35,United States,160.02,52.16,Jackson-Wink MMA,Strawweight,18,18
/fighter/Katsunori-Kikuno-16806,Katsunori Kikuno,,30/10/1981,39,Japan,172.72,70.31,Team Kikuno,Lightweight,24,24
/fighter/Josh-Wick-121219,Josh Wick,The White Mamba,04/10/1994,26,United States,175.26,65.77,Elevation Fight Team,Featherweight,11,11
/fighter/Hector-Garcia-77007,Hector Garcia,The Phoenix,19/10/1989,31,United States,177.8,70.31,Lightning Kicks,Lightweight,4,4
/fighter/Nam-Hee-Kim-351759,Nam Hee Kim,Captain Marvel,,,South Korea,0.0,52.16,Ssengym,Strawweight,0,0
/fighter/Christophe-Van-Dijck-80318,Christophe Van Dijck,,05/07/1985,36,Belgium,182.88,77.11,Tiger Muay Thai,Welterweight,9,9
/fighter/Edimilson-Souza-57343,Edimilson Souza,Kevin,17/10/1984,36,Brazil,182.88,65.77,DS Team,Featherweight,17,17
/fighter/Corina-Herrera-24202,Corina Herrera,Taz,15/04/1989,32,United States,157.48,56.7,Fearless Fighters,Flyweight,4,4
/fighter/Jason-Thacker-12690,Jason Thacker,Strange Brew,18/08/1975,45,Canada,182.88,83.91,,Middleweight,0,0
/fighter/Ralek-Gracie-23235,Ralek Gracie,,04/10/1985,35,United States,187.96,86.18,Gracie Humaita,Light Heavyweight,3,3
/fighter/Dmitry-Smoliakov-125781,Dmitry Smoliakov,The Lifeguard,05/08/1982,39,Russia,187.96,116.57,Baltic Challenge Team,Heavyweight,9,9
/fighter/Jake-OBrien-14892,Jake O'Brien,,25/09/1984,36,United States,190.5,92.99,Integrated Fighting Academy,Light Heavyweight,15,15
/fighter/Zoila-Frausto-42572,Zoila Frausto,Warrior Princess,10/12/1983,37,United States,165.1,61.69,Combat Sports Academy,Bantamweight,14,14
/fighter/Yun-Long-Li-199391,Yun Long Li,,,,China,0.0,65.77,,Featherweight,0,0
/fighter/Hayato-Suzuki-112221,Hayato Suzuki,,19/07/1986,35,Japan,165.1,52.16,Brave,Strawweight,20,20
/fighter/Gabriella-Gulfin-300267,Gabriella Gulfin,GDaddy,27/02/1992,29,United States,165.1,56.7,Class One MMA,Flyweight,2,2
/fighter/Leah-McCourt-169537,Leah McCourt,The Curse,21/06/1992,29,Northern Ireland,172.72,68.04,SBG Charlestown,Lightweight,5,5
/fighter/Thomas-Oswald-238999,Thomas Oswald,Tom Ponce de Leon,,,United States,182.88,77.11,American Kickboxing Academy,Welterweight,3,3
/fighter/Josh-LaBerge-30441,Josh LaBerge,,,,United States,177.8,68.49,Lauzon MMA,Lightweight,11,11
/fighter/Kelvin-Ong-229079,Kelvin Ong,Ice Man,,,Malaysia,175.26,65.77,Borneo Tribal Squad,Featherweight,1,1
/fighter/Vinc-Pichel-57848,Vinc Pichel,From Hell,23/11/1982,38,United States,177.8,70.31,Big John McCarthy's Ultimate Training Academy,Lightweight,13,13
/fighter/Rolando-Dy-87380,Rolando Dy,The Incredible,11/08/1991,30,Philippines,172.72,65.77,Biagtan Muay Thai,Featherweight,14,14
/fighter/Jesus-Pinedo-146941,Jesus Pinedo,El Mudo,22/06/1996,25,Peru,177.8,70.31,Pitbull Martial Arts Center,Lightweight,19,19
/fighter/Ryo-Chonan-1831,Ryo Chonan,Piranha,08/10/1976,44,Japan,175.26,76.66,Tribe Tokyo MMA,Welterweight,22,22
/fighter/Jackie-Gosh-200633,Jackie Gosh,,,,Israel,177.8,77.11,CWS Training Center,Welterweight,8,8
/fighter/Lew-Polley-16698,Lew Polley,The Titan,27/08/1981,39,United States,182.88,108.41,Black House,Heavyweight,12,12
/fighter/Aaron-Pico-191127,Aaron Pico,,23/09/1996,24,United States,172.72,65.77,Jackson-Wink MMA,Featherweight,8,8
/fighter/Raymond-Daniels-34397,Raymond Daniels,The Real Deal,29/04/1980,41,United States,190.5,83.91,,Middleweight,3,3
/fighter/Mauricio-Alonso-20758,Mauricio Alonso,,27/02/1980,41,Brazil,185.42,83.91,Combat Sports Academy,Middleweight,13,13
/fighter/John-Campetella-140,John Campetella,,,,United States,175.26,106.59,,Heavyweight,0,0
/fighter/Nicholas-Badis-249865,Nicholas Badis,Nick,,,United States,172.72,70.31,Victory MMA,Lightweight,1,1
/fighter/Justin-Smitley-16995,Justin Smitley,,,,United States,177.8,65.77,Oakdale MMA,Featherweight,10,10
/fighter/Swayne-Makana-Lunasco-245281,Swayne Makana Lunasco,,,,United States,170.18,61.23,,Bantamweight,1,1
/fighter/Cory-Walmsley-5170,Cory Walmsley,,,,United States,182.88,92.99,Team Bison,Light Heavyweight,8,8
/fighter/Kirill-Grishenko-377619,Kirill Grishenko,,,,Belarus,193.04,120.2,,Heavyweight,4,4
/fighter/Soren-Bak-87144,Soren Bak,The True Viking,22/07/1992,29,Denmark,175.26,70.31,CSA.dk,Lightweight,14,14
/fighter/Jeff-Nielsen-296357,Jeff Nielsen,,,,United States,177.8,83.91,Next Edge Academy of Martial Arts,Middleweight,2,2
/fighter/Branden-Lee-Hinkle-437,Branden Lee Hinkle,The Iron Lion,29/07/1973,48,United States,187.96,104.33,Hammer House,Heavyweight,17,17
/fighter/Mateusz-Piskorz-72840,Mateusz Piskorz,Juhas,25/05/1992,29,Poland,182.88,77.11,Nastula Team,Welterweight,15,15
/fighter/Simon-Marini-23583,Simon Marini,The Mutant,10/01/1986,35,Canada,177.8,83.91,Tapout Burlington,Middleweight,9,9
/fighter/James-Giboo-14266,James Giboo,,01/06/1978,43,United States,180.34,77.11,,Welterweight,13,13
/fighter/Gerald-Meerschaert-21501,Gerald Meerschaert,GM3,18/12/1987,33,United States,185.42,83.91,Roufusport,Middleweight,32,32
/fighter/James-Gallagher-77588,James Gallagher,The Strabanimal,24/10/1996,24,Ireland,175.26,61.23,SBG Ireland,Bantamweight,11,11
/fighter/Steven-Banks-39087,Steven Banks,The Panda,14/03/1981,40,United States,195.58,120.2,Fitness Edge MMA,Heavyweight,6,6
/fighter/Nate-Quarry-2383,Nate Quarry,Rock,18/03/1972,49,United States,182.88,83.91,Team Quest,Middleweight,12,12
/fighter/Guilherme-Vasconcelos-108499,Guilherme Vasconcelos,Bomba,23/03/1986,35,Brazil,182.88,77.11,BH Rhinos,Welterweight,10,10
/fighter/Simeon-Thoresen-19977,Simeon Thoresen,The Grin,14/03/1984,37,Norway,185.42,77.11,Frontline Academy,Welterweight,17,17
/fighter/Makoto-Takahashi-220083,Makoto Takahashi,Shinryu,05/07/2000,21,Japan,162.56,56.7,Paraestra Matsudo,Flyweight,11,11
/fighter/Ella-Tang-71925,Ella Tang,Ice Cool,15/10/1989,31,Malaysia,167.64,63.05,TNT Kickboxing,Featherweight,0,0
/fighter/James-Barnes-164811,James Barnes,Mooka,,,United States,172.72,61.23,Team Quest,Bantamweight,14,14
/fighter/Mingquan-Xia-336751,Mingquan Xia,Ghost Boy,,,China,172.72,64.86,Heibei Wanshi Fight Club,Featherweight,1,1
/fighter/Kiichi-Kunimoto-21039,Kiichi Kunimoto,Strasser,01/05/1981,40,Japan,177.8,77.11,Cobra Kai MMA Dojo,Welterweight,20,20
/fighter/Kelvin-Tiller-47441,Kelvin Tiller,The Mama's Boy,26/06/1990,31,United States,182.88,119.29,Midwest Combat Academy,Heavyweight,11,11
/fighter/Stefan-Struve-15063,Stefan Struve,Skyscraper,18/02/1988,33,Netherlands,213.36,120.2,Team Schrijber,Heavyweight,29,29
/fighter/Gregory-Rodrigues-176275,Gregory Rodrigues,Robocop,17/02/1992,29,Brazil,187.96,83.91,X-Gym,Middleweight,10,10
/fighter/Tyron-Woodley-42605,Tyron Woodley,The Chosen One,17/04/1982,39,United States,175.26,77.11,American Top Team Evolution,Welterweight,19,19
/fighter/Brandon-Wolff-4673,Brandon Wolff,,,,United States,177.8,76.2,MMA Development,Welterweight,7,7
/fighter/Dhiego-Lima-59607,Dhiego Lima,,31/01/1989,32,Brazil,187.96,77.11,American Top Team Atlanta,Welterweight,15,15
/fighter/Wilker-Barros-324555,Wilker Barros,Black Panther,,,England,177.8,77.11,,Welterweight,0,0
/fighter/Christian-Colombo-55092,Christian Colombo,Godzilla,07/01/1980,41,Denmark,195.58,117.03,Combat Sports Academy,Heavyweight,8,8
/fighter/Felicia-Spencer-203909,Felicia Spencer,FeeNom,29/11/1990,30,United States,167.64,65.77,The Jungle MMA,Featherweight,8,8
/fighter/Chang-Ho-Lee-258443,Chang Ho Lee,,09/05/1994,27,South Korea,172.72,65.77,Team Max,Featherweight,6,6
/fighter/Munah-Holland-69700,Munah Holland,The Perfect Storm,02/11/1974,46,United States,162.56,58.06,Team Tiger Schulmann,Bantamweight,5,5
/fighter/Wusaierbabai-Aiyiken-357707,Wusaierbabai Aiyiken,,,,China,180.34,77.11,Heibei Wanshi Fight Club,Welterweight,0,0
/fighter/Eugenio-Diaz-Tan-106779,Eugenio Diaz Tan,,,,Malaysia,0.0,92.99,,Light Heavyweight,1,1
/fighter/Mohammad-Sotounzadeh-167389,Mohammad  Sotounzadeh,Barbod The Unleashed,,,Iran,177.8,77.11,Global Elite Gym,Welterweight,1,1
/fighter/Tyler-Stinson-17728,Tyler Stinson,The Evolution,17/01/1986,35,United States,190.5,77.11,Grudge Training Center,Welterweight,30,30
/fighter/Mike-Grundy-84263,Mike Grundy,,01/03/1987,34,England,172.72,65.77,Team Kaobon Wigan,Featherweight,12,12
/fighter/Ryuto-Sawada-128781,Ryuto Sawada,Dragon Boy,27/11/1995,25,Japan,154.94,52.16,Evolve MMA,Strawweight,14,14
/fighter/Alex-White-55954,Alex White,The Spartan,22/10/1988,32,United States,182.88,70.31,Team Destruction,Lightweight,13,13
/fighter/Mehmet-Yueksel-129453,Mehmet Yueksel,,19/03/1980,41,Turkey,180.34,88.45,Sportstudio Popeye,Light Heavyweight,2,2
/fighter/Yana-Kunitskaya-49412,Yana Kunitskaya,Foxy,11/11/1989,31,Russia,172.72,61.23,American Top Team,Bantamweight,14,14
/fighter/Wade-Shipp-2304,Wade Shipp,Nightmare,,,United States,190.5,108.86,Alliance MMA,Heavyweight,12,12
/fighter/Billy-Giovanella-72882,Billy Giovanella,The Wolverine,20/08/1985,35,United States,172.72,56.25,Connors MMA,Flyweight,9,9
/fighter/Junior-Assuncao-10380,Junior Assuncao,,24/06/1981,40,Brazil,175.26,70.31,Ascension MMA,Lightweight,16,16
/fighter/Virna-Jandiroba-137557,Virna Jandiroba,Carcara,30/05/1988,33,Brazil,160.02,52.16,Fight House,Strawweight,17,17
/fighter/Saul-Almeida-44913,Saul Almeida,The Spider,04/06/1989,32,Brazil,185.42,65.77,Team Sityodtong Boston,Featherweight,20,20
/fighter/Raphael-Pessoa-242953,Raphael Pessoa,Bebezao,09/03/1989,32,Brazil,193.04,112.04,HWB _ Heavyweight Brothers MMA,Heavyweight,10,10
/fighter/Cyrille-Diabate-2191,Cyrille Diabate,Snake,10/06/1973,48,France,198.12,92.99,Snake Team,Light Heavyweight,19,19
/fighter/Scott-Fiedler-138,Scott Fiedler,,,,United States,193.04,106.59,,Heavyweight,0,0
/fighter/Troy-Nawrocki-122465,Troy Nawrocki,,,,United States,175.26,70.31,Premier Combat Center,Lightweight,3,3
/fighter/Eric-Wisely-25320,Eric Wisely,Little Lee,25/07/1984,37,United States,172.72,70.31,Team Conquest,Lightweight,33,33
/fighter/Prak-Chansin-137313,Prak Chansin,,02/01/1989,32,Cambodia,0.0,64.86,MIT Police Boxing Gym,Featherweight,4,4
/fighter/Christian-Lee-212247,Christian Lee,The Warrior,21/06/1998,23,Canada,177.8,77.11,Evolve MMA,Welterweight,15,15
/fighter/Spencer-Hewitt-66357,Spencer Hewitt,The Hurt Locker,,,England,162.56,56.7,MMA Terror Squad,Flyweight,12,12
/fighter/Art-Jimmerson-20,Art Jimmerson,,04/08/1963,58,United States,185.42,88.9,,Light Heavyweight,0,0
/fighter/Aleksandar-Rakic-86829,Aleksandar Rakic,Rocket,06/02/1992,29,Austria,195.58,92.99,Gym 23,Light Heavyweight,14,14
/fighter/Donald-Sanchez-17386,Donald Sanchez,,18/08/1984,36,United States,177.8,65.77,Jackson-Wink MMA,Featherweight,31,31
/fighter/Dominic-Jones-168023,Dominic Jones,Domnation,23/09/1993,27,United States,165.1,61.23,,Bantamweight,2,2
