id,match_nr,fighter1_url,fighter2_url,results,win_method,win_details,referee,round,time
/events/UFC-Fight-Night-190-Gane-vs-Volkov-88824,11,/fighter/Timur-Valiev-70605,/fighter/Raoni-Barcelos-94587,win,Decision,Majority,Mike Beltran,3,05:00
/events/UFC-Fight-Night-190-Gane-vs-Volkov-88824,10,/fighter/Andre-Fili-58385,/fighter/Daniel-Pineda-21564,NC,No Contest,Accidental Eye Poke,Herb Dean,2,00:46
/events/UFC-Fight-Night-190-Gane-vs-Volkov-88824,9,/fighter/Tim-Means-11281,/fighter/Nicolas-Dalby-63608,win,Decision,Unanimous,Jason Herzog,3,05:00
/events/UFC-Fight-Night-190-Gane-vs-Volkov-88824,8,/fighter/Renato-Carneiro-61700,/fighter/Jai-Herbert-168551,win,Submission,Rear-Naked Choke,Chris Tognoni,2,04:34
/events/UFC-Fight-Night-190-Gane-vs-Volkov-88824,7,/fighter/Kennedy-Nzechukwu-212289,/fighter/Danilo-Marques-172145,win,TKO,Punches,Jason Herzog,3,00:20
/events/UFC-Fight-Night-190-Gane-vs-Volkov-88824,6,/fighter/Shavkat-Rakhmonov-179185,/fighter/Michel-Prazeres-22218,win,Submission,Rear-Naked Choke,Mike Beltran,2,02:10
/events/UFC-Fight-Night-190-Gane-vs-Volkov-88824,5,/fighter/Jeremiah-Wells-80157,/fighter/Warlley-Alves-70750,win,KO,Punches,Chris Tognoni,2,00:30
/events/UFC-Fight-Night-190-Gane-vs-Volkov-88824,4,/fighter/Marcin-Prachnio-141251,/fighter/Isaac-Villanueva-41384,win,KO,Body Kick,Herb Dean,2,00:56
/events/UFC-Fight-Night-190-Gane-vs-Volkov-88824,3,/fighter/Julia-Avila-91159,/fighter/Julija-Stoliarenko-143533,win,Submission,Rear-Naked Choke,Jason Herzog,3,04:19
/events/UFC-Fight-Night-190-Gane-vs-Volkov-88824,2,/fighter/Charles-Rosa-71116,/fighter/Justin-Jaynes-53713,win,Decision,Split,Mike Beltran,3,05:00
/events/UFC-Fight-Night-190-Gane-vs-Volkov-88824,1,/fighter/Damir-Hadzovic-56139,/fighter/Yancy-Medeiros-27738,win,Decision,Unanimous,Chris Tognoni,3,05:00
/events/UFC-on-ESPN-25-Korean-Zombie-vs-Ige-88795,12,/fighter/Chan-Sung-Jung-36155,/fighter/Dan-Ige-136499,win," Decision",Unanimous," Herb Dean",5," 5:00"
/events/UFC-on-ESPN-25-Korean-Zombie-vs-Ige-88795,11,/fighter/Sergey-Spivak-179095,/fighter/Alexey-Oleynik-2027,win,Decision,Unanimous,Mark Smith,3,05:00
/events/UFC-on-ESPN-25-Korean-Zombie-vs-Ige-88795,10,/fighter/Marlon-Vera-97179,/fighter/Davey-Grant-30564,win,Decision,Unanimous,Mike Beltran,3,05:00
/events/UFC-on-ESPN-25-Korean-Zombie-vs-Ige-88795,9,/fighter/Seung-Woo-Choi-205299,/fighter/Julian-Erosa-71442,win,KO,Punches,Mark Smith,1,01:37
/events/UFC-on-ESPN-25-Korean-Zombie-vs-Ige-88795,8,/fighter/Bruno-Silva-66304,/fighter/Wellington-Turman-157451,win,KO,Punches,Chris Tognoni,1,04:45
